City ID,City,Cloudiness,Country,Humidity,Lat,Lng,Temperature,Wind Speed
2028164,Deputatsky,99,RU,88,69.3,139.9,9.51,1.26
476982,Varnavino,53,RU,68,57.4035,45.0916,18.37,2.3
2071860,Esperance,94,AU,73,-33.8667,121.9,9.58,8.49
6167817,Torbay,100,CA,92,47.6666,-52.7314,18.1,9.77
1685422,Sulangan,100,PH,76,11.1373,123.7228,28.24,0.9
6255012,Flinders,47,AU,78,-34.5833,150.8552,7.47,2.24
779082,Lakselv,100,NO,76,70.0513,24.9718,12.9,3.09
3374083,Bathsheba,40,BB,86,13.2167,-59.5167,29.47,10.29
2240449,Luanda,0,AO,69,-8.8368,13.2343,24.0,4.12
3347019,Mossamedes,4,AO,81,-15.1961,12.1522,17.37,2.65
132938,Gonbad-e Kāvūs,40,IR,65,37.25,55.1672,28.95,3.09
2122293,Ozernovskiy,97,RU,97,51.5,156.5167,11.12,2.42
6945979,Lillooet,0,CA,27,50.6856,-121.942,28.46,0.03
3389822,Salinópolis,29,BR,65,-0.6136,-47.3561,29.5,4.85
3614663,Brus Laguna,59,HN,82,15.75,-84.4833,28.09,2.62
3836669,San Rafael,80,AR,26,-34.6177,-68.3301,16.87,3.83
697739,Perehonivka,90,UA,27,48.5355,30.5192,28.54,6.2
690648,Usatove,19,UA,33,46.533,30.6596,27.87,2.2
933995,Souillac,40,MU,83,-20.5167,57.5167,20.21,6.69
2377457,Nouadhibou,8,MR,73,20.931,-17.0347,23.99,9.77
2162683,Innisfail,100,AU,86,-17.5333,146.0333,19.83,3.01
2020738,Litovko,26,RU,95,49.2361,135.1742,19.64,2.13
4034438,Haapiti,3,PF,70,-17.5667,-149.8667,22.62,9.9
5563839,Fortuna,100,US,92,40.5982,-124.1573,15.65,0.0
3994469,Ojinaga,0,MX,40,29.5667,-104.4167,32.56,0.0
2399371,Makokou,48,GA,67,0.5738,12.8642,24.94,1.8
1852357,Shimoda,32,JP,91,34.6667,138.95,26.72,4.9
780687,Berlevåg,75,NO,87,70.8578,29.0864,9.89,5.66
3115093,Olot,74,ES,60,42.181,2.4901,26.73,1.59
2636638,Stromness,100,GB,82,58.965,-3.296,13.26,4.47
6144195,Senneterre,97,CA,58,48.3835,-77.2328,21.46,3.54
1806840,Huilong,96,CN,93,31.8111,121.655,25.74,3.51
1639304,Kualakapuas,100,ID,98,-3.0091,114.3876,23.3,0.52
2036892,Hohhot,0,CN,77,40.8106,111.6522,19.16,1.0
935616,Le Port,33,RE,58,-20.9373,55.2919,20.49,4.33
1258686,Rāmgarh,100,IN,65,23.6333,85.5167,28.03,2.67
3408269,Afuá,85,BR,63,-0.1567,-50.3867,30.54,2.37
2219235,Ubari,0,LY,12,26.5921,12.7805,37.29,5.55
2109701,Auki,34,SB,89,-8.7676,160.7034,24.35,1.62
4328010,Houma,82,US,71,29.5958,-90.7195,31.11,2.24
5795906,Graham,0,US,60,47.0529,-122.2943,27.61,1.54
5924351,Clyde River,100,CA,100,70.4692,-68.5914,4.13,6.17
1337617,Muli,100,MV,84,2.9167,73.5667,26.06,8.74
217562,Butembo,93,CD,99,0.15,29.2833,14.78,0.21
2027316,Ayan,97,RU,95,56.45,138.1667,13.69,1.0
4938048,Grafton,40,US,44,42.207,-71.6856,27.39,7.2
5962442,Goderich,34,CA,64,43.7501,-81.7165,21.18,4.12
4362001,Mayo,0,US,49,38.8876,-76.5119,29.27,4.02
625144,Bolshevik,94,BY,64,54.0065,27.5692,20.79,2.73
364933,Umm Kaddadah,60,SD,38,13.6017,26.6876,32.63,4.51
2212775,Sabha,0,LY,10,27.0377,14.4283,37.15,4.0
686090,Asău,74,RO,88,46.4333,26.4,24.41,1.62
1810637,Ganzhou,22,CN,81,28.8184,115.4327,26.18,1.61
3386213,Touros,78,BR,83,-5.1989,-35.4608,25.55,5.19
2244991,Tambacounda,93,SN,70,13.7539,-13.7586,28.92,4.4
2084442,Vanimo,68,PG,90,-2.6741,141.3028,24.61,2.32
6144312,Sept-Îles,75,CA,75,50.2001,-66.3821,21.1,5.14
1510377,Belyy Yar,0,RU,72,53.6039,91.3903,19.36,1.0
6171633,Ucluelet,0,CA,64,48.9329,-125.5528,14.17,1.91
1064275,Ihosy,38,MG,89,-22.4,46.1167,15.91,3.23
2139521,Noumea,100,NC,99,-22.2763,166.4572,21.11,6.36
3489657,Lucea,11,JM,72,18.451,-78.1736,31.03,7.45
6137462,Saint-Augustin,83,CA,59,51.226,-58.6502,22.71,7.67
1714733,Dingle,97,PH,86,10.9995,122.6711,24.22,1.68
2034691,Songjianghe,89,CN,97,42.1859,127.479,18.78,1.51
3598787,Champerico,67,GT,74,14.3,-91.9167,32.3,2.87
1798760,Pingliang,53,CN,88,35.5392,106.6861,20.84,1.67
178443,Wajir,69,KE,41,1.7471,40.0573,29.52,9.81
3448903,São João da Barra,81,BR,64,-21.6403,-41.0511,22.05,6.63
3421982,Maniitsoq,100,GL,88,65.4167,-52.9,7.01,5.5
4034496,Fare,0,PF,68,-16.7,-151.0167,26.02,10.88
1842966,Gijang,95,KR,94,35.2442,129.2139,27.85,2.86
2120048,Ust-Nera,96,RU,62,64.5667,143.2,17.38,1.6
515879,Oktyabr'skiy,48,RU,73,54.4815,53.471,17.93,1.52
6111696,Port-Cartier,95,CA,65,50.0334,-66.8654,20.86,3.39
3662489,Santa Isabel Rio Negro,53,BR,59,-0.4139,-65.0192,30.81,1.67
2209055,Waddān,0,LY,15,29.1614,16.139,36.13,5.99
1859964,Kaseda-shirakame,100,JP,88,31.4167,130.3167,26.93,10.82
5392171,San Jose,75,US,68,37.3394,-121.895,21.96,0.45
2126123,Chokurdakh,1,RU,88,70.6333,147.9167,9.54,1.57
3899361,Arica,100,CL,72,-18.475,-70.3042,16.13,3.6
3385899,Tutóia,77,BR,69,-2.7619,-42.2744,28.85,5.01
787237,Kacarevo,81,RS,66,44.9666,20.6995,24.07,3.39
216281,Goma,85,CD,88,-1.6792,29.2228,17.76,0.67
3984997,San Quintín,33,MX,62,30.4833,-115.95,23.61,4.0
2175819,Biloela,40,AU,81,-24.4167,150.5,10.6,3.46
3698359,Chicama,37,PE,61,-7.8447,-79.1469,16.3,4.15
2387495,Carnot,36,CF,96,4.9409,15.8665,21.6,1.16
1801850,Luorong,10,CN,83,24.4058,109.6086,25.37,1.23
3991622,La Providencia,46,MX,64,28.7167,-111.5833,31.36,4.48
2427336,Moussoro,84,TD,51,13.6408,16.4901,30.44,5.96
2174444,Bowen,97,AU,82,-20.0167,148.2333,19.29,7.11
